episode,frame,step,loss,e,reward,rwd50avg,avgmaxQ
0,979,978,0,1,-21,-21,0.05154616
1,1842,863,0,1,-21,-21,0.05153295
2,2849,1007,0,1,-20,-20.67,0.051685058
3,3841,992,0,1,-20,-20.5,0.051507775
4,5030,1189,0,1,-17,-19.8,0.051562253
5,5931,901,0,1,-21,-20,0.051563207
6,6695,764,0,1,-21,-20.14,0.05142995
7,7800,1105,0,1,-19,-20,0.051552288
8,8642,842,0,1,-20,-20,0.051471382
9,9464,822,0,1,-21,-20.1,0.051620301
10,10441,977,0,1,-20,-20.09,0.051390301
11,11417,976,0,1,-21,-20.17,0.051479094
12,12181,764,0,1,-21,-20.23,0.051475644
13,13029,848,0,1,-21,-20.29,0.051453698
14,13793,764,0,1,-21,-20.33,0.051398348
15,14636,843,0,1,-20,-20.31,0.051533572
16,15549,913,0,1,-21,-20.35,0.051384751
17,16433,884,0,1,-21,-20.39,0.051479094
18,17476,1043,0,1,-19,-20.32,0.051481057
19,18300,824,0,1,-21,-20.35,0.051507257
20,19190,890,0,1,-21,-20.38,0.051496141
21,19954,764,0,1,-21,-20.41,0.051617268
22,20869,915,0,1,-21,-20.43,0.051594544
23,21861,992,0,1,-20,-20.42,0.051547162
24,22844,983,0,1,-20,-20.4,0.051448196
25,23664,820,0,1,-21,-20.42,0.051460676
26,24447,783,0,1,-21,-20.44,0.051463548
27,25271,824,0,1,-21,-20.46,0.051414702
28,26095,824,0,1,-21,-20.48,0.051478971
29,26888,793,0,1,-21,-20.5,0.051571898
30,27652,764,0,1,-21,-20.52,0.051507171
31,28571,919,0,1,-20,-20.5,0.051442899
32,29693,1122,0,1,-20,-20.48,0.051672462
33,30547,854,0,1,-21,-20.5,0.051404286
34,31584,1037,0,1,-19,-20.46,0.051600531
35,32468,884,0,1,-21,-20.47,0.051279258
36,33449,981,0,1,-20,-20.46,0.051638689
37,34232,783,0,1,-21,-20.47,0.051436998
38,35176,944,0,1,-20,-20.46,0.051531825
39,36018,842,0,1,-20,-20.45,0.051613428
40,36939,921,0,1,-20,-20.44,0.051675364
41,38021,1082,0,1,-19,-20.4,0.051623177
42,38873,852,0,1,-21,-20.42,0.051570263
43,39835,962,0,1,-20,-20.41,0.051646974
44,40696,861,0,1,-20,-20.4,0.051408712
45,41522,826,0,1,-21,-20.41,0.051469021
46,42286,764,0,1,-21,-20.43,0.051537205
47,43307,1021,0,1,-21,-20.44,0.051492456
48,44516,1209,0,1,-19,-20.41,0.051663511
49,45811,1295,0,1,-19,-20.38,0.051625539
50,46699,888,0,1,-21,-20.38,0.051477261
51,47551,852,0,1,-21,-20.38,0.051548552
52,48343,792,0,1,-21,-20.4,0.051526301
53,49388,1045,0,1,-20,-20.4,0.051533382
54,50318,930,0.000565789,1,-20,-20.46,0.008227041
55,51239,921,0.000566052,0.9997138,-19,-20.42,-0.109660096
56,52218,979,0.001122944,0.9988849,-19,-20.38,-0.110031448
57,53126,908,0.000573773,0.9980038,-21,-20.42,-0.12213736
58,54182,1056,0.000101953,0.9971866,-20,-20.42,-0.11754974
59,55075,893,0.002965491,0.9962362,-20,-20.4,-0.125816271
60,55961,886,7.77E-05,0.9954325,-21,-20.42,-0.124241367
61,56814,853,0.00044048,0.9946351,-21,-20.42,-0.12163195
62,57684,870,0.001359677,0.9938674,-20,-20.4,-0.089278698
63,58524,840,0.000263965,0.9930844,-21,-20.4,-0.071529962
64,59583,1059,2.15E-05,0.9923284,-18,-20.34,-0.001658784
65,60431,848,8.13E-05,0.9913753,-21,-20.36,0.012229566
66,61304,873,0.00025115,0.9906121,-20,-20.34,-0.006033918
67,62284,980,1.62E-05,0.9898264,-21,-20.34,0.012886487
68,63076,792,1.41E-05,0.9889444,-21,-20.38,0.007066077
69,64189,1113,0.001003304,0.9882316,-19,-20.34,-0.015672801
70,65103,914,4.93E-06,0.9872299,-21,-20.34,0.028706111
71,65929,826,0.001477876,0.9864073,-21,-20.34,0.023706086
72,66721,792,4.96E-05,0.9856639,-21,-20.34,0.02290797
73,67782,1061,0.000833583,0.9849511,-20,-20.34,0.008774922
74,68703,921,0.000355747,0.9839962,-20,-20.34,-0.001212389
75,69555,852,1.68E-05,0.9831673,-21,-20.34,-0.008609284
76,70409,854,0.000755428,0.9824005,-21,-20.34,-0.014567407
77,71192,783,1.67E-06,0.9816319,-21,-20.34,-0.018461328
78,72160,968,0.000162991,0.9809272,-21,-20.34,-0.013507392
79,73044,884,9.60E-06,0.980056,-21,-20.34,-0.031966213
80,74052,1008,0.001056801,0.9792604,-21,-20.34,-0.013742956
81,74872,820,0.000107797,0.9783532,-21,-20.36,-0.004188383
82,75791,919,6.19E-05,0.9776152,-20,-20.36,-0.011749428
83,76759,968,5.73E-05,0.9767881,-20,-20.34,-0.025071757
84,77732,973,1.22E-05,0.9759169,-21,-20.38,-0.03830393
85,78678,946,2.32E-05,0.9750412,-20,-20.36,-0.009702795
86,79659,981,7.03E-06,0.9741898,-19,-20.34,-0.027305057
87,80547,888,1.98E-05,0.9733069,-20,-20.32,-0.022981798
88,81420,873,3.19E-05,0.9725077,-21,-20.34,0.00252133
89,82262,842,2.22E-05,0.971722,-20,-20.34,0.021962214
90,83212,950,1.26E-05,0.9709642,-20,-20.34,0.011804792
91,84196,984,8.69E-05,0.9701092,-20,-20.36,0.01076883
92,85021,825,1.07E-05,0.9692236,-21,-20.36,-0.005908141
93,85869,848,4.52E-05,0.9684811,-21,-20.38,0.013079545
94,87025,1156,2.36E-05,0.9677179,-18,-20.34,0.011046696
95,88142,1117,0.000108363,0.9666775,-18,-20.28,0.003361044
96,89210,1068,8.35E-06,0.9656722,-20,-20.26,0.00771422
97,90131,921,0.000470997,0.964711,-20,-20.24,0.012198267
98,91044,913,2.59E-05,0.9638821,-21,-20.28,-0.004710271
99,92021,977,2.03E-05,0.9630604,-21,-20.32,-0.036941342
100,92863,842,5.55E-06,0.9621811,-20,-20.3,0.002648405
101,93792,929,1.68E-05,0.9614233,-21,-20.3,0.008345292
102,94616,824,6.30E-06,0.9605872,-21,-20.3,0.001236072
103,95594,978,0.000479393,0.9598456,-19,-20.28,-0.012295138
104,96358,764,1.02E-05,0.9589654,-21,-20.3,-0.003376717
105,97211,853,0.000722268,0.9582778,-21,-20.34,-0.030848071
106,98054,843,1.90E-05,0.9575101,-20,-20.36,-0.020904237
107,98938,884,4.75E-05,0.9567514,-21,-20.36,0.002863751
108,99853,915,3.65E-05,0.9559558,-21,-20.38,-0.012851412
109,100645,792,5.09E-05,0.9551323,-21,-20.4,-0.002001007
110,101498,853,1.69E-05,0.9544195,-21,-20.4,-0.024114378
111,102440,942,4.96E-06,0.9536518,-21,-20.4,-0.012484581
112,103499,1059,1.99E-05,0.952804,-19,-20.38,-0.009313311
113,104413,914,1.09E-05,0.9518509,-21,-20.38,-0.01599865
114,105300,887,2.91E-05,0.9510283,-20,-20.42,0.012997893
115,106345,1045,1.40E-05,0.95023,-18,-20.36,0.000367826
116,107217,872,0.000204382,0.9492895,-20,-20.36,-0.021970924
117,108198,981,5.19E-06,0.9485047,-20,-20.34,-0.022508679
118,109023,825,1.31E-05,0.9476218,-21,-20.34,0.020310346
119,109806,783,5.35E-06,0.9468793,-21,-20.38,-0.019375039
120,110819,1013,2.92E-05,0.9461746,-19,-20.34,0.009892257
121,111765,946,1.31E-05,0.9452629,-21,-20.34,-0.026549943
122,112619,854,5.93E-06,0.9444115,-21,-20.34,0.0162498
123,113443,824,0.000117049,0.9436429,-21,-20.36,0.027464669
124,114427,984,2.74E-06,0.9429013,-19,-20.34,0.022293622
125,115496,1069,5.47E-06,0.9420157,-20,-20.32,-0.024936428
126,116539,1043,2.77E-05,0.9410536,-20,-20.3,-0.007807652
127,117532,993,7.74E-06,0.9401149,-21,-20.3,0.007016416
128,118558,1026,5.43E-06,0.9392212,-19,-20.26,0.021030977
129,119668,1110,2.85E-05,0.9382978,-19,-20.22,0.004555233
130,120460,792,3.56E-05,0.9372988,-21,-20.22,0.006617866
131,121496,1036,0.000334233,0.936586,-20,-20.2,0.030296439
132,122320,824,1.98E-05,0.9356536,-21,-20.22,0.080330461
133,123145,825,3.08E-05,0.934912,-21,-20.24,0.085938871
134,123909,764,3.85E-06,0.9341695,-21,-20.24,0.076838896
135,124925,1016,5.64E-06,0.9334819,-20,-20.24,0.077787489
136,125727,802,2.68E-05,0.9325675,-21,-20.28,0.084067822
137,126753,1026,3.76E-05,0.9318457,-20,-20.28,0.072074428
138,127624,871,4.89E-06,0.9309223,-20,-20.26,0.023567943
139,128467,843,1.90E-05,0.9301384,-20,-20.26,0.062252764
140,129371,904,3.94E-05,0.9293797,-21,-20.28,0.053522747
141,130352,981,1.30E-05,0.9285661,-20,-20.28,0.041381769
142,131267,915,5.26E-06,0.9276832,-21,-20.28,-0.004999402
143,132109,842,1.01E-05,0.9268597,-20,-20.26,0.072296098
144,133022,913,0.000514018,0.9261019,-21,-20.32,0.102886975
145,133874,852,8.08E-06,0.9252802,-21,-20.38,0.027890684
146,135214,1340,6.33E-05,0.9245134,-20,-20.38,0.06942118
147,135978,764,1.32E-05,0.9233074,-21,-20.4,0.071644247
148,136960,982,1.01E-05,0.9226198,-20,-20.38,0.029618407
149,137840,880,3.09E-06,0.921736,-21,-20.38,0.051463131
150,138632,792,2.72E-06,0.920944,-21,-20.4,0.077682316
151,139571,939,2.19E-05,0.9202312,-19,-20.36,0.062963426
152,140335,764,3.67E-05,0.9193861,-21,-20.36,0.067694806
153,141376,1041,5.32E-06,0.9186985,-19,-20.36,0.07790602
154,142226,850,7.60E-06,0.9177616,-21,-20.36,0.084019274
155,143138,912,3.44E-06,0.9169966,-21,-20.36,0.049508199
156,144010,872,3.09E-06,0.9161758,-20,-20.36,0.048214041
157,144912,902,7.16E-06,0.915391,-20,-20.34,0.015136985
158,145676,764,1.10E-05,0.9145792,-21,-20.34,0.068859369
159,146555,879,2.76E-06,0.9138916,-20,-20.32,0.065450087
160,147428,873,5.21E-06,0.9131005,-21,-20.32,0.020686695
161,148391,963,3.66E-06,0.9123148,-19,-20.28,0.019639535
162,149383,992,7.48E-06,0.9114481,-19,-20.28,0.032202691
163,150315,932,4.17E-06,0.9105553,-20,-20.26,0.053488385
164,151417,1102,1.82E-05,0.9097165,-20,-20.26,0.130553469
165,152347,930,2.40E-05,0.9087247,-20,-20.3,0.033844601
166,153167,820,5.83E-06,0.9078877,-21,-20.32,0.035266526
167,154370,1203,7.18E-06,0.9071497,-19,-20.3,0.115721755
168,155301,931,1.18E-06,0.906067,-20,-20.28,0.106680065
169,156200,899,2.74E-06,0.9052291,-20,-20.26,0.11860472
170,157094,894,6.75E-07,0.90442,-20,-20.28,0.117155634
171,158004,910,2.55E-06,0.9036154,-21,-20.28,0.102186486
172,158921,917,4.96E-06,0.9027964,-20,-20.26,0.05314374
173,159822,901,1.70E-05,0.9019711,-20,-20.24,0.117308624
174,160974,1152,1.30E-06,0.9011602,-21,-20.28,0.096016139
175,161937,963,8.47E-06,0.9001234,-20,-20.28,0.048132721
176,163074,1137,1.15E-05,0.8992567,-18,-20.24,0.135438427
177,164008,934,1.40E-05,0.8982334,-19,-20.2,0.058134869
178,164878,870,2.62E-06,0.8973928,-20,-20.22,0.081566639
